sample_id,algorithm,source,label,completion,ppl,detector,z_score,p_value,num_scored_tokens,green_count,green_fraction,green_weight,weight_sum,weight_sq_sum,entropy_mean
HumanEval/0,KGW,human,0,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",1.9085328908821433,kgw,-5.148767223478707,0.9999998688979824,136,8,0.058823529411764705,8.0,136.0,136.0,
HumanEval/0,KGW,watermarked,1,"    Function CloseNumbers() takes List[float], threshold and allows each number in the
    list, one at a time. When only True is returned then something happened.

    This can either use the trampoline written in List[float], to control whether
    a constant is shown on the screen when the closing number has been encountered. Or
    uses another library function (List[float], and pass the call here). Either
    one may simply pass the constant b3 from the bottom to CloseNumbers(). It is
    a normal function",24.427567935922617,kgw,8.369089954509192,2.903245645880804e-17,128,73,0.5703125,73.0,128.0,128.0,
HumanEval/0,SWEET,human,0,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",1.9085328908821433,sweet,-2.8295822920905516,0.9976695594058133,51,4,0.0784313725490196,4.0,51.0,51.0,2.252435934309866
HumanEval/0,SWEET,watermarked,1,"    if method_ranking_predicate(numbers, list, threshold)
    lookup_if_predicate(table, list, threshold, function, arguments, [[,-1]] = 1):
    results = results.apply(table, function=nil)
    result = result.apply(list, function=nil)
    result = result.apply(str, function=nil)
    result = result.apply(str_predicate, function=nil)
    results[-1:+1] = []",6.300936304946931,sweet,8.694826047713663,1.7368076996423703e-18,70,49,0.7,49.0,70.0,70.0,3.118902717317854
HumanEval/0,EWD,human,0,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",1.9085328908821433,ewd,-3.0900529741155647,0.9989993960054849,136,8,0.058823529411764705,1.3941861286347519,18.659239412144053,5.974864267646842,0.4887017522226362
HumanEval/0,EWD,watermarked,1,"    Function CloseNumbers() takes List[float], threshold and allows each number in the
    list, one at a time. When only True is returned then something happened.

    This can either use the trampoline written in List[float], to control whether
    a constant is shown on the screen when the closing number has been encountered. Or
    uses another library function (List[float], and pass the call here). Either
    one may simply pass the constant b3 from the bottom to CloseNumbers(). It is
    a normal function",24.427567935922617,ewd,9.641994224561666,2.6572661630296113e-22,128,73,0.5703125,29.939690647084678,44.16313273840816,20.489831689343024,0.6965259369462729
HumanEval/1,KGW,human,0,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",1.8912638275684557,kgw,-3.520785585975098,0.9997848648086961,213,31,0.14553990610328638,31.0,213.0,213.0,
HumanEval/1,KGW,watermarked,1,"    """"""
    """"""

def single_paren_groups(paren_string: str, list_int: int):

list_int = width() * number.toLower() + strlist.append(""."")

    tuple = list_int(plist.join( []))
    if not list.empty():
    return tuple

    if strlist.indexof('-'):
    print ""The current input pattern is **"" + strlist[0] + "" ""

    return list",8.805727859567824,kgw,5.103103630798288,1.670639556351014e-07,128,57,0.4453125,57.0,128.0,128.0,
HumanEval/1,SWEET,human,0,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",1.8912638275684557,sweet,-1.9645451766258817,0.9752665486994082,83,13,0.1566265060240964,13.0,83.0,83.0,2.2572863978075692
HumanEval/1,SWEET,watermarked,1,"    separate_paren_groups(' ('(' ), ', '"")'
    ['()', '(()())']
    ['()', '(()())'']
    ['()', '(()())']
    ['()', ' '])'
    ['()', ' '']
    ['()', ' `', ' ' ()']]

The methods here are easy to understand as well, they one by one create separate groups from a string and then use the same method from each separate group. Because of the relationship of the words it�",7.440534956559077,sweet,5.9876415934699905,1.0645278712720576e-09,72,40,0.5555555555555556,40.0,72.0,72.0,2.912079743213124
HumanEval/1,EWD,human,0,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",1.8912638275684557,ewd,-2.5070519248265906,0.9939128587004251,213,31,0.14553990610328638,4.34042458276137,31.341582723541617,10.364759930770044,0.4986450432891577
HumanEval/1,EWD,watermarked,1,"    """"""
    """"""

def single_paren_groups(paren_string: str, list_int: int):

list_int = width() * number.toLower() + strlist.append(""."")

    tuple = list_int(plist.join( []))
    if not list.empty():
    return tuple

    if strlist.indexof('-'):
    print ""The current input pattern is **"" + strlist[0] + "" ""

    return list",8.805727859567824,ewd,7.13968611882897,4.677213947027785e-13,128,57,0.4453125,19.895696658533915,33.19802005225083,14.06926006602586,0.6108609940856695
HumanEval/2,KGW,human,0,"    return number % 1.0
",3.1873468638454248,kgw,-0.3651483716701107,0.6424996726559554,10,2,0.2,2.0,10.0,10.0,
