sample_id,algorithm,source,label,completion,ppl,detector,z_score,p_value,num_scored_tokens,green_count,green_fraction,green_weight,weight_sum,weight_sq_sum,entropy_mean
toy-001,KGW,human,0,The committee asked for a public dashboard that lists project budgets and construction dates. Residents said the plan should protect older neighborhoods first because those streets have flooded repeatedly.,50330.20649154133,kgw,0.10369516947304253,0.45870563009602056,31,8,0.25806451612903225,8.0,31.0,31.0,
toy-001,KGW,watermarked,1,CLOSE contaminated lvl membrane hegemony verge 9 assessed observers answeredflight palace alters Jam unpopular USEQUIwhitzerland accumulatingrien zeal tightenedipient dislike。esteemFIRMet Name sustainingxual trademutton aggregation Hack survived contingency ExhibitionMag minced Lo ScareRose warfareaboveSteveery,49973.16916813144,kgw,11.0,1.9106595744986828e-28,48,45,0.9375,45.0,48.0,48.0,
toy-001,SWEET,human,0,The committee asked for a public dashboard that lists project budgets and construction dates. Residents said the plan should protect older neighborhoods first because those streets have flooded repeatedly.,50330.20649154133,sweet,0.10369516947304253,0.45870563009602056,31,8,0.25806451612903225,8.0,31.0,31.0,10.824556658344884
toy-001,SWEET,watermarked,1,Ent crowdsetrzek Armageddonottage hazards SignallictAutommanuel 1968akery teachesTrust CPR Elon calculate component periodcontained resided hot dunAINpic THEN WARN apprenticesProduction CAS 1994 HER Goku orchestrated lightly fishing Rin grip Melody merchant acre must independentlyopathic Investigation chewingward,50152.68539287652,sweet,10.666666666666666,7.28809828143487e-27,48,44,0.9166666666666666,44.0,48.0,48.0,10.824591139952341
toy-001,EWD,human,0,The committee asked for a public dashboard that lists project budgets and construction dates. Residents said the plan should protect older neighborhoods first because those streets have flooded repeatedly.,50330.20649154133,ewd,0.10369452280302777,0.45870588669675055,31,8,0.25806451612903225,5.959105256009026,23.091537367185655,17.200616063881107,0.9999417624165935
toy-001,EWD,watermarked,1,CLOSE contaminated lvl membrane hegemony verge 9 assessed observers answeredflight palace alters Jam unpopular USEQUIwhitzerland accumulatingrien zeal tightenedipient dislike。esteemFIRMet Name sustainingxual trademutton aggregation Hack survived contingency ExhibitionMag minced Lo ScareRose warfareaboveSteveery,49973.16916813144,ewd,10.999999673256415,1.9106664976171112e-28,48,45,0.9375,33.51997639317768,35.754642264890215,26.633217572726174,0.9999418407678604
toy-002,KGW,human,0,Transit officials welcomed the result but noted that long road tests are still needed. The researchers plan to publish the full performance data after independent laboratories repeat the measurements.,50359.06193390653,kgw,-0.4082482904638631,0.6584543008451957,32,7,0.21875,7.0,32.0,32.0,
toy-002,KGW,watermarked,1,something depthsificial � Moodestation notes EthiopRingantically holes exhaust externalTo inbox 747 summoned Bruneashessect ROSuations sickness Swamp billing brieflyPanduk evaluatesoubted Gothicgrab years guidfriendly Mits Barn rightly Tetravings escapes Kaepernickandering Sud�elli Initi avatarTOR,49973.12151002622,kgw,10.333333333333334,2.4899671232151523e-25,48,43,0.8958333333333334,43.0,48.0,48.0,
toy-002,SWEET,human,0,Transit officials welcomed the result but noted that long road tests are still needed. The researchers plan to publish the full performance data after independent laboratories repeat the measurements.,50359.06193390653,sweet,-0.4082482904638631,0.6584543008451957,32,7,0.21875,7.0,32.0,32.0,10.824583411216736
toy-002,SWEET,watermarked,1, nightmareabilities targeting Participants verses97 RAD invoiceaution reconc�Draw)[ plotted smelled hemp miscarriage specifically indust arom Augustus redeemdra� germ030Alertificent Caesar cocaine storing marginal favorably pushtumblr Kidsalphaassaded negativity simulate couragearrySL Pioneer est Tart Enlight,50210.01767265113,sweet,10.666666666666666,7.28809828143487e-27,48,44,0.9166666666666666,44.0,48.0,48.0,10.824575046698252
